identity,ACTB,IFITM3,CD4,IFNG,B2M,umap_1,umap_2
B Activated,6,0,0,0,28,4.298310193184793,7.687929097931725
B Activated,6,0,0,0,43,4.317227753762186,7.829636041443688
CD16 Mono,18,0,0,0,76,-8.496863928671896,-2.280727918822425
CD14 Mono,12,1,0,0,130,-7.4719530018530484,-9.266180570799964
CD16 Mono,5,0,0,0,67,-8.603245344992697,-4.332212026793616
B,9,0,0,0,55,6.1046341983117465,7.9416994493416375
CD8 T,4,0,0,0,33,3.2458259192742704,-0.6191363293715888
CD4 Memory T,5,0,0,0,41,4.839980038765848,-2.660106237609046
CD14 Mono,12,0,0,0,74,-6.643452254172384,-6.090881403166907
CD14 Mono,19,0,0,0,67,-6.857232180472433,-7.358915861327308
pDC,8,0,0,0,31,-2.0836587818823458,-1.401911075789588
T activated,5,0,0,0,31,-0.03463914715868234,-3.6494031507560187
CD4 Memory T,2,0,0,0,24,6.538066300515116,-3.108088072020667
pDC,5,0,1,0,45,-2.1208148869238497,-1.2766136486121589
CD4 Naive T,1,0,0,0,48,7.152107628945291,-3.975744302947181
CD14 Mono,31,0,0,0,48,-5.42999228560549,-8.460966642577308
CD8 T,1,0,0,0,48,3.7044636336602568,-1.2684079963752204
CD14 Mono,5,0,0,0,9,-4.934983340140402,-10.184375341612952
CD4 Naive T,4,0,0,0,44,7.486038598183573,-4.659746225554603
CD4 Naive T,1,1,0,0,53,7.301600846413553,-4.18659978695597
NK,0,0,0,0,58,1.4234459725655912,1.0751226585320062
CD4 Naive T,2,0,0,0,23,6.5159148303307894,-3.001109178740638
Mk,6,0,0,0,39,5.4597062197961215,-5.438457544524329
CD14 Mono,13,5,0,0,63,-6.765736666556418,-7.344896372038978
CD4 Memory T,3,0,0,0,48,4.712922009591043,-1.6997171003409797
CD4 Memory T,1,0,2,0,40,5.9577321139611605,-4.224530752379554
CD14 Mono,20,0,0,0,56,-6.581410017844259,-7.5864730436393195
DC,10,0,0,0,114,-5.287279215689718,-4.696366365630286
CD4 Naive T,0,0,0,0,33,7.935994538430155,-2.7312033731528693
CD14 Mono,25,0,0,0,58,-5.744805899497091,-7.564584310729163
B,4,0,0,0,60,6.369504365090311,7.9291471879890985
CD4 Naive T,0,0,0,0,26,6.809962662819803,-4.718214567381995
CD14 Mono,6,1,0,0,37,-5.300463286276877,-9.23771816082682
CD4 Memory T,2,1,0,0,27,7.957428368691385,-3.0280037481376105
CD4 Naive T,12,0,0,0,50,7.548856648568094,-4.656775053221839
NK,2,0,0,0,49,0.4692963687219024,1.2461808364800042
CD4 Naive T,2,1,0,0,39,4.871366891030252,-3.6062229234763556
CD4 Naive T,4,0,0,0,45,7.761438759926737,-3.6574500162192756
CD4 Memory T,1,0,0,0,41,5.9135145274438266,-4.076244409758704
B Activated,20,0,0,0,74,2.840800675515115,8.503610078614098
CD14 Mono,14,0,0,0,71,-6.136367407675802,-8.171588476378577
CD14 Mono,10,0,0,0,53,-5.717596617575705,-8.476592596251624
CD14 Mono,32,0,0,0,47,-6.347209540244162,-6.637458856780189
CD14 Mono,25,2,0,0,36,-8.396873083945334,-6.128669794280189
B Activated,0,0,0,0,39,3.340457352761209,8.329355661194665
CD14 Mono,23,0,0,0,41,-4.8744798573217984,-9.292417104918616
B,6,0,0,0,19,6.685680302742899,8.085454408448083
CD4 Memory T,6,0,0,0,49,3.337865742806375,-0.6718074042388373
CD14 Mono,33,0,0,0,72,-7.063087073203146,-7.654817636687415
CD16 Mono,15,0,0,0,129,-8.52795371138674,-4.579258974272864
CD4 Memory T,1,0,0,0,29,5.760412129525125,-2.8767374116965705
CD4 Naive T,1,0,0,0,35,8.060165795449198,-3.5131979543754035
CD4 Memory T,4,0,0,0,29,6.179644974831522,-3.687015112120765
B,3,0,0,0,18,6.249782475594461,8.31638282946859
CD4 Naive T,2,0,0,0,42,6.884219559792459,-4.444516714293616
CD4 Memory T,8,0,0,0,20,4.966184529427469,-3.779427107054847
CD14 Mono,4,0,0,0,19,-7.538721648093283,-8.090247686583655
CD14 Mono,10,0,0,0,62,-5.742026415701925,-8.809841688353675
CD14 Mono,17,0,0,0,73,-6.969100085135519,-9.177292402465003
CD16 Mono,22,2,0,0,125,-9.090980139609396,-2.6033866960593635
Mk,63,8,0,0,173,-8.918988791342795,-5.782079275328773
CD14 Mono,9,1,0,0,71,-6.879955855246603,-8.73043113537516
CD14 Mono,53,0,0,0,96,-7.929016199942648,-7.399072702605384
CD4 Naive T,1,0,0,0,38,8.389329346779764,-3.8113732893058234
CD4 Naive T,5,0,0,0,30,7.766474160317362,-3.5702872831412726
CD16 Mono,9,1,0,0,60,-8.136787024375021,-2.486723955351966
CD14 Mono,39,1,0,0,59,-6.891379919882834,-6.87815194912638
CD4 Memory T,4,0,0,0,30,6.420212659005106,-3.3733223039695197
CD14 Mono,16,0,0,0,25,-5.596603003378927,-9.56885486431803
CD4 Memory T,1,0,0,0,43,5.333089741829813,-4.537809904296058
NK,2,0,0,0,42,0.8939313021935821,1.095995132248742
CD4 Memory T,7,0,0,0,46,4.6615823832787875,-1.673776801306861
CD14 Mono,8,1,0,0,67,-6.308565226431906,-7.815569456298011
B Activated,3,0,0,0,50,2.9190057841576933,8.674155656617028
CD4 Memory T,4,0,0,0,48,3.7237080661095976,-3.261783178527015
CD14 Mono,14,1,0,0,68,-5.928419676657736,-7.455021913725989
B,5,0,0,0,35,6.439536961678446,7.646151963990075
DC,18,0,0,0,65,-4.335110274191916,-4.056680973250526
CD8 T,0,0,0,0,15,5.677249344948709,-2.633213098723548
B,6,0,0,0,31,6.789206418160379,7.789399091523034
CD4 Memory T,5,0,0,0,48,5.631276997689188,-2.594141300398963
CD14 Mono,57,0,0,0,62,-6.475015726920187,-7.142555769164222
B,16,0,0,0,38,5.554218682412088,7.5747866075447625
B,7,0,0,0,55,1.6145444241799711,-3.143377836424964
CD14 Mono,18,0,0,0,98,-7.14059266173464,-8.526230390746253
B Activated,4,0,0,0,43,4.36081114685911,8.039088670533044
CD8 T,4,0,0,0,34,3.156561288002908,-0.9641403514930182
Mk,5,0,0,0,50,5.39153042710203,-5.430666979033607
CD4 Naive T,4,0,0,0,33,7.550573739174784,-2.791434820372718
CD14 Mono,26,0,0,0,77,-6.406893339987814,-8.52751308270182
CD4 Naive T,5,0,0,0,55,4.270083817604959,-4.267271574217933
CD16 Mono,44,0,0,0,104,-8.57851466261965,-3.6815591413566047
CD14 Mono,17,1,0,0,65,-8.09800061308962,-8.096858080107825
CD14 Mono,56,0,0,0,110,-8.0719257267676,-6.014803941924232
CD14 Mono,22,0,0,0,40,-6.490888682242453,-9.100153501708167
B Activated,5,0,0,0,58,4.301735791329325,8.424210016053063
CD14 Mono,12,0,0,0,46,-7.255931464072287,-9.804668005187171
CD4 Memory T,2,0,0,0,33,5.711896809700907,-2.5309081632682258
B Activated,6,0,0,0,61,2.8355759707726835,8.389977876465661
CD8 T,2,0,0,0,54,3.270186814431131,-0.7356431443282538
DC,21,0,0,0,31,-5.464682188864767,-5.490789945799964
CD14 Mono,12,0,0,0,49,-6.34872254454714,-10.018679197508948
CD8 T,5,0,0,0,27,3.402408513192117,-0.5816264409610206
CD16 Mono,39,0,0,0,96,-8.949593153830588,-3.939066942412513
CD14 Mono,13,0,0,0,43,-7.570304480429709,-9.323304708678382
CD14 Mono,27,0,0,0,34,-5.69552430235964,-8.340332563597816
CD4 Memory T,1,0,0,0,53,5.274238976601541,-3.514462526518958
CD14 Mono,40,0,0,0,85,-8.22549780928713,-6.877927835662025
CD4 Naive T,2,0,0,0,49,5.216931256417215,-1.8871763307639533
B,2,0,0,0,32,6.272006901863993,7.629340593140466
CD4 Naive T,6,0,0,0,26,5.890231522683084,-4.893578584868568
CD14 Mono,19,0,0,0,24,-6.763780680533468,-7.299233968932288
CD14 Mono,15,0,0,0,95,-6.962417212363302,-7.949094351012366
CD14 Mono,5,0,0,0,27,-5.975361433859884,-9.105968054015296
CD14 Mono,41,1,0,0,124,-7.859191981192648,-5.851429517943519
CD14 Mono,16,0,1,0,80,-6.7383433254919645,-6.155889089781898
CD4 Memory T,5,0,0,0,32,6.2769764987267855,-3.5919738370963508
CD8 T,2,0,0,0,57,1.9171966639794706,0.49098033122335133
pDC,5,0,1,0,69,-1.5404722365103365,-1.5141683179923469
NK,6,0,0,0,41,0.0676062581576705,1.0472461622170037
CD4 Naive T,0,0,0,0,55,6.14541808045286,-4.703149374205726
CD8 T,2,0,0,0,50,4.0796965686120394,-1.5349615175315314
DC,48,0,0,0,126,-5.683164683219015,-4.952385481078284
CD4 Naive T,4,0,0,0,33,7.522055062416971,-4.5802450735160285
DC,78,0,0,0,140,-4.762437907095968,-3.685891445357459
CD8 T,5,0,0,0,71,1.0795554248132109,0.07342289797578512
CD4 Naive T,2,0,0,0,49,7.567361745003641,-3.8750348646232062
CD14 Mono,25,6,0,0,70,-7.936740008231222,-8.097900922972816
NK,1,0,0,0,51,1.094967278603494,0.2396182458809441
CD14 Mono,32,3,1,0,69,-5.632715788718283,-8.287832792479652
T activated,3,0,0,0,20,2.6611823169030546,-3.615217025954383
CD4 Memory T,7,0,0,0,34,7.612857255104959,-3.083124693114417
CD14 Mono,15,0,0,0,62,-7.362996664877951,-8.837611730773109
DC,63,0,0,0,208,-4.693126765128195,-3.650502498824256
CD8 T,2,0,0,0,65,1.4635606137551664,-0.09638560898985209
CD4 Memory T,10,0,0,0,51,3.695153864983499,-3.927028949935096
T activated,0,0,0,0,10,3.9906992045678495,-3.1007733900138312
CD4 Naive T,1,0,0,0,40,7.955281647805155,-3.1715794164725715
CD4 Naive T,1,0,0,0,40,8.327523621682108,-4.26319366284098
DC,29,0,0,0,105,-5.285343733664572,-4.56888156719889
CD14 Mono,17,1,0,0,84,-7.243964281912863,-9.027115400511878
B Activated,1,0,0,0,42,3.288305195931375,8.52316230944906
CD4 Memory T,6,0,0,0,41,5.465418252114237,-3.2649512846061164
CD16 Mono,24,1,0,0,152,-9.37219199263674,-3.5821159441062385
CD14 Mono,8,0,0,0,53,-6.406725493308127,-8.727510984618323
CD4 Memory T,10,0,0,0,47,4.912157925728739,-2.9181173402854377
CD4 Memory T,4,0,0,0,41,5.5471695987023715,-2.6909304220267707
CD14 Mono,13,1,0,0,58,-5.71750506484133,-9.168625410277503
DC,33,0,0,0,57,-5.997815218802511,-5.806206758696693
CD8 T,1,0,0,0,29,5.476773652199686,-2.9309225637504035
CD16 Mono,27,0,0,0,75,-7.996582594748556,-3.214034851271766
CD14 Mono,21,0,0,0,25,-5.93294056975466,-8.226674612242835
CD4 Naive T,2,0,0,0,27,5.324932488564432,-4.4121823865958625
CD4 Memory T,0,0,0,0,65,4.532018098000467,-1.858600552756446
CD4 Memory T,1,0,0,0,45,6.084667595986307,-2.825102861601966
CD14 Mono,52,0,0,0,40,-5.702183810111105,-9.617226179320472
T activated,2,0,0,0,12,5.7265543071069125,-2.6381137926169806
CD4 Naive T,3,0,0,0,40,5.531256112221659,-3.6386271078177863
CD14 Mono,14,0,0,0,67,-4.998619166251242,-8.581517751891273
CD14 Mono,38,0,0,0,45,-7.525118914481222,-6.458042200286048
DC,24,1,0,0,90,-4.94336423003298,-4.085012014586585
CD16 Mono,29,0,0,0,87,-8.506790724631369,-3.7760763723441535
CD14 Mono,7,1,0,0,102,-6.3828535946570035,-8.865830000121253
CD14 Mono,4,0,0,0,58,-8.514230337973654,-8.298985059935706
B,2,0,0,0,36,6.498359593514383,7.856763784211022
NK,1,0,0,0,44,-0.1386893736682534,0.9231267612389153
CD4 Naive T,0,0,0,0,51,4.965914639595926,-3.0323789674827033
CD4 Naive T,2,0,0,0,41,6.282026681069315,-4.225344713408607
T activated,1,0,0,0,22,4.4545301524438266,-3.1749461252280646
NK,1,0,0,0,91,0.3061554459370971,1.2072417180946893
CD8 T,1,0,0,0,61,3.0872565833367704,-0.37040718980516735
CD14 Mono,14,4,0,0,61,-7.296637621756613,-7.829482610900062
CD8 T,0,0,0,0,38,4.484873208168924,-3.0210640985557013
Mk,34,0,0,0,100,-8.399330702658713,-6.300940569121497
CD14 Mono,43,0,0,0,73,-7.723528471823752,-6.897982176024573
CD16 Mono,53,2,0,0,182,-8.788800803061545,-4.212265070159095
CD8 T,0,0,0,0,31,3.6973854628838896,-1.1337502557822638
CD14 Mono,35,0,0,0,79,-5.828644362326681,-7.927125032622474
CD4 Memory T,8,0,0,0,44,6.7007083026208285,-4.077205475051063
CD14 Mono,1,1,0,0,24,5.2476185885705355,-3.477895076949256
CD14 Mono,1,1,0,0,61,-4.753656950827658,-9.804042394835609
CD4 Memory T,1,0,0,0,38,5.2208451358117465,-2.24037700482096
CD16 Mono,21,4,0,0,107,-9.289152708884298,-3.3356109220572883
CD4 Naive T,0,0,0,0,46,7.818174275521219,-2.823412473876136
CD4 Naive T,2,0,0,0,42,7.0256404010095,-4.359975393492835
B Activated,9,0,0,0,94,2.846437129143655,8.436975900452477
CD4 Memory T,14,0,0,0,37,5.407897385720194,-3.997646864134925
CD14 Mono,16,0,0,0,47,-8.319897261496603,-7.248046453673499
CD14 Mono,8,0,0,0,23,-5.564252940054953,-9.974319036681312
CD4 Naive T,4,0,0,0,31,7.943097504738748,-3.4932330209800178
CD14 Mono,28,0,0,0,40,-5.9715071591101285,-7.736496504027503
CD8 T,3,0,0,0,41,3.934317978981912,-1.6300237733909064
CD14 Mono,14,0,0,0,39,-6.943068590994894,-9.808781202513831
T activated,4,0,0,0,19,0.9999081221856475,-4.012676294524329
CD14 Mono,38,0,0,0,43,-5.457677451010763,-8.093609388548987
CD4 Memory T,1,0,0,0,24,5.54784670746702,-3.305959041793006
CD16 Mono,20,2,0,0,91,-9.174135771628439,-5.007862623412269
CD14 Mono,25,2,0,0,91,-9.172161665793478,-6.52173858471598
CD14 Mono,17,0,0,0,34,-7.026064959403097,-9.48470359631266
CD8 T,4,0,0,0,58,1.3376432982720732,0.6131894033363885
CD8 T,2,0,0,0,69,4.778543862465799,-2.762306745726722
CD14 Mono,23,1,0,0,98,-7.277996626730978,-7.974963243682044
CD4 Memory T,8,0,0,0,22,6.923023137215555,-2.670243080336707
CD4 Naive T,5,0,0,0,41,9.074249657753885,-3.824316795546668
CD4 Naive T,6,0,0,0,48,8.412034424904764,-2.1109579164573127
T activated,0,0,0,0,62,1.2375500527657866,-3.882078703124183
pDC,10,0,0,0,41,-1.7947704466543795,-1.348904426772254
Mk,2,1,0,0,31,7.818003567818582,-4.671513612944739
CD14 Mono,11,0,0,0,33,-4.817870226737082,-10.018653448302405
CD4 Naive T,8,0,0,0,59,8.468568238381327,-4.207385118682044
B,0,0,0,0,58,6.531980904702127,8.142495576660973
CD14 Mono,25,0,0,0,107,-8.05706223570925,-8.457889135558265
CD14 Mono,27,0,0,0,83,-7.358779517050802,-6.924312647063392
CD8 T,0,0,0,0,46,5.626810464028299,-2.1249533254691535
CD4 Memory T,2,0,0,0,41,5.6386193362512,-4.486795004088538
CD14 Mono,13,1,0,0,74,-7.740902033682882,-9.632217939574378
CD4 Naive T,6,0,0,0,67,5.800791176918924,-4.477661665160316
CD16 Mono,18,6,0,0,102,-9.089518156882345,-3.359519298751014
B Activated,12,0,0,0,98,2.4397176829614042,8.637340013306481
CD14 Mono,35,1,0,0,100,-8.584126082297384,-5.938373144347327
CD14 Mono,5,0,0,0,84,-9.397709456320822,-7.721735056121009
CD4 Memory T,1,0,0,0,54,6.306760701302469,-3.1352542001792365
CD4 Naive T,4,0,0,0,47,7.593746098641336,-4.9650974828788215
DC,17,0,0,0,46,-5.202961531516134,-9.248991544921058
Eryth,5,0,0,0,48,2.4084681597985624,0.06759742311750112
DC,47,0,0,0,139,-4.903499689932882,-3.881165559966224
CD14 Mono,21,0,0,0,52,-7.301191893454611,-7.620506342131751
CD4 Naive T,6,0,0,0,20,8.091967972878397,-3.1336274702140265
CD16 Mono,29,4,0,0,102,-9.050101843710959,-4.097089584548133
CD8 T,20,0,0,0,90,4.3993519870080355,-3.460774477202552
CD4 Naive T,4,0,0,0,43,7.836268815163553,-4.119421537596839
B,31,0,0,0,163,-1.1910841139517427,-1.1979680616446906
CD8 T,7,0,0,0,58,0.7967744199075103,0.4262439053467339
DC,57,0,0,0,25,-5.863541689749777,-5.699463422972816
CD14 Mono,95,1,0,0,148,-7.689332571860373,-6.694677885253089
CD8 T,2,0,0,0,82,1.317233714226663,-0.328329573948043
CD8 T,1,0,0,0,17,4.808866414193094,-1.7031032402106696
CD14 Mono,26,0,0,0,46,-7.119048682089865,-6.488616522032874
NK,4,0,0,0,25,2.0727299777306913,-1.4343596059867316
CD4 Naive T,2,0,0,0,46,6.972392472390116,-4.929443891722816
T activated,3,0,0,0,32,1.4549684850015043,-3.797089870650428
CD14 Mono,27,0,0,0,55,-7.102054682608664,-8.42148166485514
CD14 Mono,46,0,0,0,56,-7.876725760336935,-6.123202379424232
CD14 Mono,36,0,0,0,31,-6.439598170157492,-8.85887294598307
CD16 Mono,24,4,1,0,104,-8.651266661521017,-2.293941791731971
CD14 Mono,10,0,0,0,28,-6.177018252249777,-6.843549307067054
B Activated,3,0,0,0,53,3.3122035590447783,8.434676591675622
CD14 Mono,70,0,0,0,81,-7.343940344687521,-6.313923414427894
CD14 Mono,28,3,0,0,48,-6.6389876278601285,-7.356694277007239
CD14 Mono,15,1,0,0,47,-5.1032138737402555,-9.659695203978675
CD8 T,11,0,0,0,66,1.5616880980767607,0.5214373510292596
CD14 Mono,10,0,0,0,36,-6.291975584860861,-9.301610525328773
CD14 Mono,11,1,0,0,105,-6.968134489890158,-8.459889944274085
CD4 Memory T,3,0,0,0,57,5.145543488625467,-3.272997673232215
CD14 Mono,30,2,0,0,135,-8.409232703085959,-5.854423101622718
CD14 Mono,49,0,0,0,117,-8.95439585768801,-6.861499365050452
CD4 Naive T,2,0,0,0,44,6.9232873050012,-3.8138154108115607
DC,96,0,0,0,159,-5.03604754531008,-4.100586946684974
CD8 T,2,1,0,0,49,4.228981408242166,-2.4118729192801887
CD14 Mono,7,1,0,0,34,-5.090111819144308,-8.840990598876136
CD4 Naive T,5,0,0,0,39,7.936533364418924,-4.624456461150306
B,6,0,0,0,37,6.897021683815897,7.559467737000329
CD14 Mono,40,0,0,0,50,-7.504251089926779,-6.95835214443888
CD4 Memory T,1,0,0,0,40,5.328771981362284,-3.4657807905265265
CD4 Memory T,2,0,0,0,55,5.227775487069071,-4.2178440649100715
NK,1,0,0,0,64,0.23107680952924492,0.7214437168053216
CD4 Memory T,6,0,0,0,40,5.538021954659403,-3.7820373136588508
DC,35,0,0,0,96,-4.8962131413183805,-3.8505983907767707
CD14 Mono,16,0,0,0,52,-6.556452360983908,-8.036536749083655
CD4 Memory T,2,0,0,0,32,6.289218815926493,-4.5038619596549445
CD14 Mono,19,1,0,0,31,-5.972721663352072,-8.59686237164225
CD4 Naive T,3,0,0,0,68,4.391203316811502,-4.347858961302894
CD14 Mono,44,1,0,0,89,-6.376292792197287,-6.167472894866126
CD14 Mono,25,0,0,0,100,-9.375415411826193,-7.689358289916175
CD4 Naive T,11,0,0,0,31,7.994623574379862,-4.55715757199015
NK,3,0,0,0,74,1.3926462260522245,0.8403771560600823
CD4 Memory T,8,0,0,0,39,5.755267056588114,-2.7837572652884894
T activated,1,0,0,0,34,4.812144192818582,-3.906786735732215
CD14 Mono,36,2,0,0,98,-7.646140185233175,-5.828900392729896
CD4 Memory T,7,0,0,0,41,5.870425137642801,-4.768879945952552
Mk,0,0,0,0,42,5.087988766793192,-4.394683893401282
pDC,3,0,0,0,33,-1.8979380997381807,-1.4338617879935676
CD4 Naive T,2,0,0,0,30,7.988651665810526,-2.835025604445594
DC,87,0,0,0,109,-4.888981428977072,-4.00400381870951
CD4 Naive T,2,0,0,0,34,8.646149071816385,-4.119426305968421
CD14 Mono,38,4,0,0,180,-8.886361685629904,-5.640753324706214
CD4 Naive T,4,0,0,0,54,4.947965058449686,-3.999007995803016
CD16 Mono,11,8,0,0,65,-9.103826132651388,3.750944320481164
B,4,0,0,0,27,5.7137016383447055,8.205639306824548
CD4 Naive T,0,0,0,0,40,6.9890407649316195,-3.6832488138266974
B,6,0,0,0,48,4.748463067177713,7.916377488892419
CD14 Mono,38,0,0,0,103,-7.489554968710959,-7.421196039397376
DC,59,0,0,0,87,-4.875841227408468,-3.9271166879722053
CD14 Mono,10,1,0,0,72,-8.248077956076681,-7.551760252196448
CD4 Memory T,7,0,0,0,31,7.499491128090799,-3.0096858102866584
CD14 Mono,44,0,0,0,59,-7.156410303946554,-8.373437460143226
CD4 Naive T,0,0,0,0,39,6.827743920449198,-3.2621889669486457
CD4 Naive T,1,0,0,0,27,7.216284188393534,-4.073406513411658
CD14 Mono,9,2,0,0,47,-5.124188509818136,-8.845074232298987
B,4,0,0,0,22,7.538368615273416,7.384363595764977
CD4 Memory T,3,0,0,0,50,4.648228558663309,-2.7901471216269904
CD16 Mono,59,0,0,0,128,-9.071854201193869,-3.5745008546897346
CD4 Memory T,1,0,0,0,34,7.168480309609354,-2.681837375838416
NK,2,0,0,0,53,2.155607613686502,0.44642675332341847
CD14 Mono,18,1,0,0,89,-7.8170882137976285,-6.499177988249915
CD14 Mono,27,0,0,0,59,-6.647634592886984,-7.937416132170814
CD14 Mono,20,1,0,0,56,-8.023752299185812,-6.712797697264808
Mk,2,0,0,0,27,6.595282467965067,-5.024508054930823
CD14 Mono,34,0,0,0,72,-7.60250672423464,-5.52706437893595
CD14 Mono,19,0,0,0,90,-7.982171622153341,-5.866060312468665
CD14 Mono,29,0,0,0,132,-9.41686686598879,-6.9561124403068
CD8 T,2,0,0,0,65,4.869692238930643,-1.718941505629676
NK,2,1,0,0,88,-0.36610576235872505,1.1650729816368646
T activated,2,0,0,0,42,2.3906058398522734,-3.5501752454825812
CD4 Naive T,0,0,0,0,52,7.852975758675516,-3.3338010866233283
B,2,0,0,0,30,6.713869008187235,7.428350393097741
CD4 Memory T,2,0,0,0,39,6.207611950997293,-2.523833807189124
CD8 T,3,1,0,0,36,3.3239347068108915,-0.6507789451667243
T activated,1,0,0,0,28,4.125343712929666,-3.039869363982337
CD4 Memory T,3,0,0,0,63,5.961801442269266,-3.2205832559653693
CD14 Mono,20,0,0,0,19,-5.648097124930441,-9.428350980956214
B,2,0,0,0,41,5.614671620491922,8.202902261536462
CD4 Memory T,8,0,0,0,33,6.380420121315897,-2.928985174376624
T activated,1,0,0,0,16,2.0515114394463896,-3.5700779516288215
DC,65,0,0,0,86,-6.512277689810812,-5.644440229613441
CD14 Mono,9,4,0,0,36,-5.808265772696554,-8.395387228209632
CD14 Mono,27,0,0,0,33,-8.593251791831076,-7.445574815947669
CD16 Mono,36,0,0,0,169,-8.814995375510275,-4.876177366454261
CD4 Naive T,0,0,0,0,26,8.40688744461912,-3.2076116163321906
CD4 Naive T,2,0,0,0,31,8.896865281228006,-3.6250470239707404
CD14 Mono,31,3,0,0,106,-6.617640105124533,-5.485848005492347
CD4 Memory T,6,0,0,0,38,5.087388428811014,-3.5075517255851203
CD4 Naive T,0,0,0,0,31,7.459389599923075,-4.161685522277015
CD16 Mono,15,0,0,0,60,-8.257036772605002,-2.6922071535178596
CD14 Mono,19,0,0,0,87,-7.272270289298117,-9.176616247374671
DC,39,3,0,0,89,-6.525351611014425,-6.330129202086585
CD14 Mono,24,0,0,0,33,-6.051718321677267,-8.35575729199137
CD14 Mono,7,3,0,0,77,-7.3661604794226285,-8.621460493285316
CD4 Memory T,6,0,0,0,29,7.252979668740213,-3.0434551794120246
CD4 Naive T,6,0,0,0,49,6.735483559731424,-3.2194285947867805
CD14 Mono,44,1,0,0,133,-8.297476378317892,-6.0887618619986945
NK,1,0,0,0,43,1.35023597157377,0.7140755098274774
B Activated,1,0,0,0,38,5.7392801371850375,8.380619470398766
CD14 Mono,41,2,0,0,134,-7.759008017417013,-5.624262865264075
CD14 Mono,22,0,0,0,50,-7.6274825009070035,-7.124137933928626
CD16 Mono,23,4,0,0,111,-9.083841887351095,-2.430428560454505
CD14 Mono,14,0,0,0,44,-8.32701548659426,-7.891173895079749
CD14 Mono,19,0,0,0,83,-6.774916258688986,-8.270864065367835
CD14 Mono,29,0,0,0,22,-5.234222498770773,-9.086390073973792
CD14 Mono,12,0,0,0,71,-7.053590861197531,-9.058878477294105
CD4 Memory T,9,0,0,0,45,5.006664666298807,-2.041041310507911
CD14 Mono,7,5,0,0,51,-7.4462667378149625,-8.502049024779456
CD14 Mono,44,1,0,0,130,-8.730785933371603,-6.473513658721107
NK,13,0,0,0,80,0.25686744130033257,1.217700545113427
CD4 Naive T,4,1,0,0,57,5.667489441994608,-4.4413738805839
CD4 Naive T,4,1,0,0,28,6.917338284615457,-3.821302469451087
CD14 Mono,11,0,0,0,61,-6.240309325095236,-9.187548216063636
CD8 T,7,0,0,0,51,4.0092949000634555,-3.5322216112204963
CD4 Naive T,0,0,0,0,35,6.733548077706278,-3.695600803572791
Mk,7,1,0,0,48,4.954455765847147,-5.717594679076331
NK,1,0,0,0,32,0.9903736439980865,0.7521882694176263
CD4 Naive T,1,0,0,0,45,4.935088547829569,-3.8240528661796027
CD4 Naive T,1,0,0,0,50,6.767982873085916,-3.650410469252723
CD14 Mono,23,1,0,0,119,-8.811503020163595,-6.311746175963538
CD14 Mono,17,0,0,0,66,-6.196305361624777,-7.486679132659095
B,30,0,0,0,53,4.487133416298807,8.020296518128259
CD8 T,1,0,0,0,53,2.7086631385125517,-0.07657535337294878
CD14 Mono,36,0,0,0,68,-7.718379107352316,-8.38534885235514
CD4 Naive T,0,0,0,0,16,6.479191216591776,-3.2340844232627326
CD14 Mono,14,2,0,0,82,-8.541928854819357,-5.949316080290931
CD14 Mono,42,1,0,0,87,-8.622820464011252,-5.82623487301554
DC,115,0,0,0,97,-5.750911799307882,-4.945946748931068
CD4 Memory T,1,0,0,0,59,6.175544652108133,-2.9243186075278693
CD4 Naive T,8,0,0,0,53,8.25092926895994,-4.232172544676917
CD4 Naive T,5,0,0,0,26,7.5937489596642855,-3.3986213762351447
CD8 T,4,0,0,0,55,3.657530459526956,-1.2656709510871345
B,7,0,0,0,47,6.5492567149438266,7.517268125336511
CD16 Mono,13,7,0,0,84,-9.169473257895529,-3.2685356695243293
CD14 Mono,23,1,0,0,54,-7.655210581656515,-7.209499414641517
CD4 Naive T,4,0,0,0,31,5.247532757882059,-3.1301622945853644
CD14 Mono,13,0,0,0,49,-6.594070044394552,-9.840224798400062
B,2,0,0,0,40,6.519012364510477,7.2972855012825555
CD14 Mono,9,1,0,0,65,-5.221518126364767,-9.015224035460609
CD4 Naive T,2,0,0,0,41,8.115103158120096,-4.187592085082191
CD14 Mono,65,0,0,0,102,-9.141664114829123,-7.163810308653968
CD4 Naive T,2,0,0,0,30,7.059217366341532,-3.2869189340659553
CD4 Naive T,3,0,0,0,38,6.819326790932596,-4.993670042235511
CD4 Naive T,4,0,0,0,33,7.695636185769022,-3.53763681240763
CD14 Mono,16,0,0,0,120,-8.080525008078634,-5.834510858733314
DC,40,0,0,0,166,-5.3863607319555875,-4.516423280913489
T activated,3,0,0,0,48,3.3089498606957792,-3.355271156508582
T activated,2,0,0,0,23,2.9545384970940947,-2.04799419232096
CD14 Mono,13,0,0,0,42,-5.703133669730246,-9.234691198546546
CD14 Mono,23,0,0,0,65,-8.739494887229025,-6.920339163024085
CD4 Memory T,1,0,0,0,42,5.674619111184061,-3.1629384119101935
CD4 Memory T,4,0,0,0,49,6.7583631602563266,-3.0663829404899055
CD4 Memory T,2,0,0,0,33,6.8355397311486605,-3.151502664763587
CD4 Naive T,0,0,0,0,47,7.198533448342264,-3.6130610067435676
CD14 Mono,20,0,0,0,68,-9.201876250144064,-7.888657148558753
pDC,19,1,0,0,83,-1.5954935225210787,-1.447361047942298
